

Default Settings
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
Default Settings          | 0.4443
No stemming               | 0.4463
No stopping               | 0.4443
No stemming or stopping   | 0.4463
No vision results         | 0.4899
Google vision only        | 0.4614
MS vision only            | 0.4530
Vision confidence 20%     | 0.4360
Vision confidence 40%     | 0.4427
Vision confidence 60%     | 0.4580
Vision confidence 80%     | 0.4618
